车型名称,评分,销量,图片链接,最低价格,最高价格
赛那SIENNA,4.44,49322,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M02/79/95/436x333_autohomecar__ChxoHWYrQRyANDVQAAn17EmQYJ0258.png,29.98,41.08
格瑞维亚,4.52,39570,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M09/37/68/436x333_autohomecar__ChsEbGNpxdSAS4BaAAsWyc_7LfA696.png,29.98,41.68
传祺M8,4.51,34429,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M06/38/68/436x333_autohomecar__ChsEbGNp_PmAJuP2AAkYQToZJCs663.png,17.98,34.28
别克GL8,4.37,27955,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M0A/D2/A7/436x333_autohomecar__ChxkPmcjHl6APPPNAAcnj3A-D_0701.png,23.29,47.39
传祺M6,4.47,20480,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M04/B5/CD/436x333_autohomecar__Chtk2WZi3wKABbQiAAfExdNBIT0615.png,11.98,15.98
奥德赛,4.39,16028,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M0A/08/63/436x333_autohomecar__CjIFU2VwPNKAW9T0AAhR1Ya-qyo429.png,23.58,43.98
五菱佳辰,4.00,12417,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M09/A0/CA/436x333_autohomecar__ChwFj2Ipoy2ARNP7AAazib1f4R4642.png,6.88,11.58
金海狮经典,4.49,9271,https://g.autoimg.cn/@img/car2/cardfs/series/g4/M13/0E/64/436x333_autohomecar__ChsFVmDlRf2ATB4rAAqYU2sT1-0032.png,6.09,10.59
艾力绅,4.50,8347,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M05/C9/25/436x333_autohomecar__ChwFkmG7-DWAMzDOAAa8oiMaPwY727.png,27.98,33.18
大通G50,4.55,7197,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M07/0D/8A/436x333_autohomecar__ChwFj2IhddmAPmmUAAlSmzpFM84295.png,8.68,14.98
