车型名称,评分,销量,图片链接,最低价格,最高价格
轩逸,4.56,167940,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M0A/5D/95/436x333_autohomecar__ChtliGSiORGAfxpWAAnUmRB7KTw441.png,10.86,17.49
朗逸,4.44,162049,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M05/9B/74/436x333_autohomecar__ChsEdmORrAGANlQJAAa7V8MDrEY072.png,8.00,15.19
帕萨特,4.41,122066,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M0A/F4/4B/436x333_autohomecar__Chtk2Wbhdi2ALmpZAAgL34jzuQk562.png,16.45,23.99
速腾,4.56,120589,https://g.autoimg.cn/@img/car2/cardfs/series/g29/M03/3E/50/436x333_autohomecar__ChsFVWKW8uaAcpRuAAgV7a04-8A643.png,12.79,17.29
迈腾,4.44,86933,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M02/14/C7/436x333_autohomecar__ChxkPWaN6E-ARDBRAAgLwIPxlbo538.png,17.49,25.39
凯美瑞,4.39,84574,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M06/81/DE/436x333_autohomecar__ChtlxmVXB2-AE8MkAAJwaX9zvaU302.png,17.18,25.98
奥迪A6L,4.47,82372,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M04/E1/B4/436x333_autohomecar__ChxkmWLrMY-AS6aWAAfmdU71qeo540.png,42.79,65.68
奔驰C级,4.41,81679,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M0A/DC/30/436x333_autohomecar__ChsEoGEZx5uAaw2TAAoJpgDJbI8230.png,33.48,38.06
奔驰E级,4.53,77663,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M04/25/71/436x333_autohomecar__Chtlx2UwlmOAMM84AAIto3o2R6g442.png,44.72,59.98
红旗H5,4.59,73595,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M08/FE/7B/436x333_autohomecar__ChxkjmS_m_2AJT-eAAgFleAqYOQ278.png,15.98,22.58
雅阁,4.47,71444,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M00/BC/DA/436x333_autohomecar__CjIFVGQlGSmAX9iPAAc7V4qCb3Q772.png,17.98,23.88
