Car_name,rating,image,Min_price,Max_price
Model Y,4.41,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M09/55/A3/436x333_autohomecar__CjIFVGSiMe-AFK8LAAdjPz_Yhv0678.png,24.99,35.49
宋PLUS新能源,4.58,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M09/04/73/436x333_autohomecar__ChxknGV4DzSAHG4RAAdLphsVYos293.png,12.98,18.98
元PLUS,4.41,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M00/84/BB/436x333_autohomecar__ChxkqWUH9ZCARv9wAAg8P1s-Uqw460.png,11.98,14.78
理想L6,4.54,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M06/CA/AB/436x333_autohomecar__ChxoHWYnTG6Ae3ixAAcx4tAf2u4488.png,24.98,27.98
宋Pro新能源,4.45,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M0A/44/B1/436x333_autohomecar__CjIFU2V4D2GAd7pCAAhNZPm_6CA520.png,10.98,14.28
问界M9,4.53,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M09/96/BE/436x333_autohomecar__ChtliGWKs_aAd5wqAAfvNPmxyyo816.png,46.98,56.98
AION Y,4.58,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M05/1E/69/436x333_autohomecar__ChtliGM2rW2AAKCrAAkX86oWZF0331.png,10.98,18.98
问界M7,4.49,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M08/DD/5C/436x333_autohomecar__ChxkPmbRhumAR_VxAAnhunHYbW4982.png,24.98,32.98
元UP,4.41,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M09/31/97/436x333_autohomecar__ChxoHmXpVB6AcZqEAAlovht5C3U271.png,9.68,11.98
唐新能源,4.53,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M06/8F/C1/436x333_autohomecar__ChxkPWcgSDmAKOacAAij6K5NdKY698.png,17.98,26.98
理想L7,4.53,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M05/7A/86/436x333_autohomecar__ChxkjmSiN1eAYncjAAgqOjh33Yw910.png,30.18,35.98
宋L DM-i,4.51,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M0B/97/FF/436x333_autohomecar__ChxkPWaiD_KAe4qMAAdGMR1VQ9k810.png,13.58,17.58
深蓝S07,4.60,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M02/57/1B/436x333_autohomecar__ChxoHWYqfLWAE3cdAAlQMiP2pTE555.png,14.99,20.79
蔚来ES6,4.50,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M03/44/C0/436x333_autohomecar__CjIFU2V4D4GAfOzhAAhMETh3TF4149.png,33.80,39.60
零跑C11,4.51,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M05/76/37/436x333_autohomecar__ChsEfV_qkV2AYqpiAAeP1xnjTOY096.png,14.88,20.98
银河E5,4.52,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M06/2A/EA/436x333_autohomecar__ChxoHmYeIFSAbZilAAWZczPqzYs244.png,10.98,14.58
理想L9,4.29,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M02/67/02/436x333_autohomecar__CjIFVGWFZzqAa80QAAiagaWrG_s322.png,40.98,43.98
领克08新能源,4.42,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M02/6F/F1/436x333_autohomecar__Chtk3WTRsOeADHDyAAkTnDwLOx0055.png,19.58,28.80
零跑C10,4.60,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M05/D2/DC/436x333_autohomecar__Chtlx2WFZ0qAfTfcAAdfP7WF9sk702.png,12.88,16.88
银河L7,4.48,https://g.autoimg.cn/@img/car2/cardfs/series/g24/M02/D7/B8/436x333_autohomecar__Chxky2WFaSqAOAo9AAbqeQtrmxY472.png,12.57,16.97
长安UNI-Z新能源,4.35,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M0B/6C/21/436x333_autohomecar__ChtlxmVUmcCAL0U_AAaz2nx3dKM383.png,11.79,13.19
理想L8,4.69,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M00/B8/AE/436x333_autohomecar__ChxkmmM2zByAJCbUAAjR3xLZavw229.png,32.18,37.98
哈弗猛龙新能源,4.57,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M07/03/BA/436x333_autohomecar__ChxknGV4DWqAHsAeAAjVNSz-wr0709.png,16.58,19.28
风云T9,4.57,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M0B/01/70/436x333_autohomecar__CjIFV2WbtsaAZpydAAHmBvSCWXc177.png,12.99,19.39
捷途山海T2,4.58,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M07/57/43/436x333_autohomecar__ChxoHWYqfbOADlHDAAj4atlLqJU628.png,17.99,22.49
问界M5,4.58,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M06/57/39/436x333_autohomecar__ChxoHWYqfW6ADUO1AGR2O2bO6FE939.png,24.98,27.98
海狮07 EV,4.42,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M09/4E/67/436x333_autohomecar__ChtlxWVaxciAFYGFAAId8duUm4o278.png,18.98,23.98
小鹏G6,4.49,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M02/04/ED/436x333_autohomecar__ChxknGV4EHOAEl_QAAfy5l9wToM857.png,19.99,27.69
奇瑞iCAR 03,4.49,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M01/81/7F/436x333_autohomecar__ChxknGWAFzGACu91AAgUq8OgxTs500.png,10.98,16.98
零跑C16,4.53,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M06/2F/84/436x333_autohomecar__ChxoHWYppDeAFc9pAAmnWehUZP4049.png,15.58,18.58
极狐 阿尔法T5(ARCFOX αT5),4.57,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M06/17/5D/436x333_autohomecar__CjIFU2VpdZ-ARrdfAAawdtZgMdI119.png,15.58,19.98
豹5,4.53,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M07/66/F7/436x333_autohomecar__CjIFVGWFZW6AV6deAAjlf6Qu9Es528.png,23.98,30.28
哪吒L,4.52,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M06/D8/80/436x333_autohomecar__ChtlyGYnmo6AZXL1AAXOLEw-Xuw332.png,12.99,18.29
坦克400新能源,4.57,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M09/05/8B/436x333_autohomecar__Chxky2TsQ56AHkzyAAd0PIEAghg599.png,28.58,28.98
AION V,4.55,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M08/E3/85/436x333_autohomecar__ChxkPmbR3ZSAJhVxAAuflgpqiUE967.png,12.98,19.36
长安启源Q05,4.30,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M04/5B/9C/436x333_autohomecar__Chtk2Wcq0DWAPDjLAAbsGpgxhUg120.png,9.69,11.29
风神L7新能源,4.54,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M0B/C3/B5/436x333_autohomecar__ChxoHmYL4a6ATMzHAAeckTSLjb8023.png,10.99,14.99
ID.4 CROZZ,4.33,https://g.autoimg.cn/@img/car3/cardfs/series/g17/M0C/D6/3A/436x333_autohomecar__ChwEo2AFVGCAScMlAAf7V7EvkjI242.png,19.39,29.39
坦克500新能源,4.54,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M05/80/07/436x333_autohomecar__ChxkjmQ9TiCAF4m5AGSwEpEwJUQ381.png,33.50,34.50
魏牌 蓝山,4.40,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M0B/57/3E/436x333_autohomecar__ChxoHWYqfYSAFOdBAGX4-quRwWg372.png,27.38,32.68
