Car_name,rating,image,Min_price,Max_price
锋兰达,4.40,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M07/81/EF/436x333_autohomecar__ChwFkmGqJ0eAWaXwAAoASTZZKBE601.png,12.58,18.48
星越L,4.58,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M00/8F/37/436x333_autohomecar__Chxky2PgczuAfLpXAAJkj3KKYDI686.png,13.72,18.52
RAV4荣放,4.71,https://g.autoimg.cn/@img/car3/cardfs/series/g25/M0A/BC/08/436x333_autohomecar__ChsEmF2NaRqABUqTAAe4Ejo3j6M483.png,16.98,26.38
卡罗拉锐放,4.20,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M07/AE/58/436x333_autohomecar__CjIFVmSiNxOAPF2IAAfOUjh4-LQ889.png,12.98,18.48
瑞虎8,4.44,https://g.autoimg.cn/@img/car3/cardfs/series/g16/M14/7A/D2/436x333_autohomecar__ChsEzWDySFaAKqAOAAXuzLRNiAw734.png,9.78,16.19
探岳,4.46,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M08/29/06/436x333_autohomecar__ChxkPmc1iqCAAZjkAAlW5pX_ogI753.png,20.49,25.99
长安CS75 PLUS,4.56,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M0B/27/BA/436x333_autohomecar__Chtk2WcOCvSAUfFFAAgnlkskNZs043.png,11.79,14.99
本田CR-V,4.43,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M03/90/D7/436x333_autohomecar__ChtlxmSelOeAdMFjAAiiXGL6CXM783.png,18.59,26.39
途观L,4.50,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M08/68/CE/436x333_autohomecar__ChxkPmZhJvOAJn5pAAgvy8MPV8o426.png,18.68,26.68
奥迪Q5L,4.71,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M08/91/FE/436x333_autohomecar__Chtk3WCjUUiAWOSgAAxCg-Cn6vI964.png,39.88,48.88
奔驰GLC,4.43,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M02/64/AD/436x333_autohomecar__CjIFVGRCV4uATX20AAidgPiKqI0830.png,42.78,53.13
威兰达,4.86,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M00/FA/C1/436x333_autohomecar__ChwFjl6m2euAYiS0AAhUF85qvhE601.png,17.38,26.48
博越L,4.46,https://g.autoimg.cn/@img/car3/cardfs/series/g26/M03/F4/94/436x333_autohomecar__ChwFkGMFkd2AeaHzAArDBCBeD4c857.png,11.57,14.97
皓影,4.41,https://g.autoimg.cn/@img/car2/cardfs/series/g25/M09/7E/95/436x333_autohomecar__ChtliGOlkF-AW557AAmGDynKn8A610.png,18.59,26.39
哈弗大狗,4.48,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M07/C6/BD/436x333_autohomecar__ChwFkWLWFuOAGVARAAl67AXHTVA628.png,12.39,14.99
捷途X70,4.13,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M04/5B/58/436x333_autohomecar__ChxoHWYfKkeAbZ6uAAktQqI4Scg586.png,8.79,17.09
逍客,4.38,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M04/9F/C6/436x333_autohomecar__ChtlxmTVnoiAO2gXAAhg43eeU6E094.png,12.59,17.49
捷途旅行者,4.71,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M09/67/0D/436x333_autohomecar__CjIFVWUT8bmAA5sQAArNDCAH3jQ095.png,13.99,23.99
宝马X3,4.51,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M08/E1/02/436x333_autohomecar__ChxkPmbRuIyAEoW9AAYrjtvnIho064.png,39.96,48.69
缤越,4.46,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M01/E9/8B/436x333_autohomecar__ChxkPmdIDKOAAaLPAAd4wTz9VVQ270.png,6.68,10.38
红旗HS5,4.41,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M04/EE/74/436x333_autohomecar__ChxknGRY7jGAaZ8dAAk912C4Q7w500.png,18.38,24.98
哈弗H6,4.52,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M01/64/43/436x333_autohomecar__ChxoHmYfX3SAVRGnAAgxPUKe8E4923.png,9.89,14.69
途岳,4.43,https://g.autoimg.cn/@img/car3/cardfs/series/g32/M02/D5/2C/436x333_autohomecar__ChxkPmbRMQSAU_O7AAiy4uJJAnY601.png,12.59,21.66
汉兰达,4.39,https://g.autoimg.cn/@img/car3/cardfs/series/g4/M14/A4/10/436x333_autohomecar__ChsFVmCKHU-ADhTqAAkrBZpDuRI628.png,24.98,32.58
