Car_name,rating,image,Min_price,Max_price
海鸥,4.71,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M0B/2F/B0/436x333_autohomecar__Chtk2Waq_Q2ATvkQAAbtYN52Tvc741.png,6.98,8.58
秦PLUS,4.44,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M0B/58/A2/436x333_autohomecar__ChxoHmXVw2qAaWiuAAg1C-bg8-c383.png,7.98,17.98
秦L,4.51,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M05/A8/07/436x333_autohomecar__ChxoHWXAj-6AXfNxAAWrJEf8oNI498.png,9.98,13.98
海豹06 DM-i,4.60,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M07/A7/E8/436x333_autohomecar__ChxoHmXAj-GASeHTAAXQ1MwtGlE311.png,9.98,13.98
宏光MINIEV,4.42,https://g.autoimg.cn/@img/car2/cardfs/series/g26/M0A/9F/9A/436x333_autohomecar__ChxkjmVDFGeAE6nWAAubKMEhsjg322.png,3.28,9.99
驱逐舰05,4.46,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M08/35/2F/436x333_autohomecar__ChxoHmW4yg6ABc33AAYuGIYuF_g057.png,7.98,13.68
汉,4.43,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M05/18/E7/436x333_autohomecar__ChsFJ2JSj76AcuOOAAg0TVWXz0E905.png,16.58,25.98
五菱缤果,4.36,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M03/04/D8/436x333_autohomecar__ChxknGV4EEGAdC_6AAfVjvUbzRc807.png,5.68,8.88
Model 3,4.38,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M0A/98/B3/436x333_autohomecar__CjIFU2VuxAiAMliVAAdeidm7fSE232.png,23.19,33.59
小米SU7,4.40,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M01/11/01/436x333_autohomecar__ChtlxmWNOgOAXXxmAAYLEp-BYmc978.png,21.59,29.99
海豚,4.53,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M01/03/5C/436x333_autohomecar__CjIFU2WA-b6ARnsTAAYkvEHGB0Q375.png,9.98,12.98
