Car_name,rating,image,Min_price,Max_price
红旗国礼,4.53,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M08/BA/32/436x333_autohomecar__ChxkmmRHm-GAZ6PMAAbCWVEkolI649.png,718.00,718.00
红旗H9,4.52,https://g.autoimg.cn/@img/car3/cardfs/series/g31/M00/57/59/436x333_autohomecar__ChxoHWYqflOACbWoAGRMsMFc3n0344.png,30.98,86.00
奥迪A7L,4.46,https://g.autoimg.cn/@img/car3/cardfs/series/g7/M08/30/91/436x333_autohomecar__ChwEmWFQJJyAEnUbAAguYPmxiXo052.png,41.87,66.62
奥迪A6L,4.47,https://g.autoimg.cn/@img/car2/cardfs/series/g27/M04/E1/B4/436x333_autohomecar__ChxkmWLrMY-AS6aWAAfmdU71qeo540.png,42.79,65.68
奔驰E级,4.53,https://g.autoimg.cn/@img/car3/cardfs/series/g28/M04/25/71/436x333_autohomecar__Chtlx2UwlmOAMM84AAIto3o2R6g442.png,44.72,59.98
宝马5系,4.50,https://g.autoimg.cn/@img/car2/cardfs/series/g28/M02/49/B2/436x333_autohomecar__ChxkmmVXBzOAZLSOAAJMK1N0g44877.png,43.99,52.59
沃尔沃S90,4.50,https://g.autoimg.cn/@img/car2/cardfs/series/g24/M05/40/56/436x333_autohomecar__ChwFjmDTBTSAT4ZbAAgGMaTtp9o368.png,40.69,50.59
捷豹XFL,4.46,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M0B/C9/70/436x333_autohomecar__ChwFjmC58DGAGm6yAAmjxOeO57w513.png,39.99,48.79
凯迪拉克CT6,4.48,https://g.autoimg.cn/@img/car3/cardfs/series/g27/M05/5E/79/436x333_autohomecar__CjIFVWSelP-AMlrTAAh-fXiqwaQ950.png,35.97,46.97
领克03,4.57,https://g.autoimg.cn/@img/car2/cardfs/series/g29/M06/7E/2E/436x333_autohomecar__Chxkm2MQEz-ACEzVAAiQ7S1EZDI965.png,12.78,42.03
奥迪A4L,4.50,https://g.autoimg.cn/@img/car3/cardfs/series/g24/M07/BF/A5/436x333_autohomecar__ChsEl16BXKSAFuONAAkKdw4QUKI580.png,32.18,40.08
宝马3系,4.42,https://g.autoimg.cn/@img/car2/cardfs/series/g32/M03/EE/48/436x333_autohomecar__Chtk2Wc-0A2AGKUSAAfb3s50zos139.png,29.99,39.99
沃尔沃S60,4.57,https://g.autoimg.cn/@img/car2/cardfs/series/g29/M03/65/31/436x333_autohomecar__ChsEn13XRxeAKMylAAkoJSnPj-8260.png,30.69,38.49
奔驰C级,4.41,https://g.autoimg.cn/@img/car2/cardfs/series/g30/M0A/DC/30/436x333_autohomecar__ChsEoGEZx5uAaw2TAAoJpgDJbI8230.png,33.48,38.06
林肯Z,4.65,https://g.autoimg.cn/@img/car2/cardfs/series/g31/M02/31/B9/436x333_autohomecar__ChtlyGXpU_iAUsYrAAdR45Vvh8A583.png,23.58,36.58
捷豹XEL,4.53,https://g.autoimg.cn/@img/car3/cardfs/series/g30/M03/74/2C/436x333_autohomecar__ChwFlGIhdWuAXl5MAAqqfJtZ-zQ066.png,29.98,34.18
